E,Su
10562.62664,97.40863122
7993.231343,81.48335536
3323.973265,103.2945911
5079.303273,90.70933114
5310.788605,118.0700417
10192.91524,116.8205845
6496.810902,97.66441093
4622.58079,87.95782868
11287.08699,108.6949713
9023.806307,75.56018188
7488.961746,89.23235059
8129.472981,98.8081282
9728.077719,84.50135906
15589.48447,136.9893968
7176.987291,125.1618072
6689.86006,93.26194267
12711.83253,58.62913206
5971.210057,105.0679751
8747.122932,100.8444078
12221.63519,109.1364724
10330.09574,110.5605302
463.7697314,107.6041004
8483.600352,114.8518333
2915.263215,95.63302487
7651.743947,104.3737289
5623.903449,125.8693849
9504.494128,78.3462482
4566.434188,141.9498414
6426.468713,91.38153189
8896.075869,64.03107106
7408.827464,71.03637938
13378.38375,112.0633198
6104.24514,118.8911991
6883.447748,85.25792456
8315.891087,120.7501599
4158.931043,129.0760571
10872.43787,80.1500894
9226.277685,101.2605879
10013.66539,74.22244858
11645.1988,94.29346525
